X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,0,14020,3.89,21220,5.89,-20,5.6,7.2,0.0,2.66,3.01,4.42,3.45,264.84,284.34,233.73,260.49,0.48,0.85,0.00,0.44
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,1,11220,3.12,18420,5.12,-2800,0.0,0.0,0.0,2.75,3.02,4.48,3.50,297.33,273.50,258.24,273.74,0.48,0.85,0.00,0.44
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,2,9140,2.54,16340,4.54,-2080,0.0,0.0,0.0,2.72,2.98,4.53,3.50,269.40,242.98,286.82,266.03,0.48,0.86,0.00,0.44
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,3,7660,2.13,14860,4.13,-1480,0.0,0.0,0.0,2.72,2.96,4.58,3.51,263.54,227.70,313.65,268.89,0.48,0.73,0.00,0.39
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,4,6600,1.83,13800,3.83,-1060,0.0,0.0,0.0,2.70,2.94,4.62,3.51,249.42,212.51,335.69,267.93,0.48,0.73,0.00,0.40
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,5,5860,1.63,13060,3.63,-740,0.0,0.0,0.0,2.69,2.93,4.65,3.52,239.72,201.95,352.40,267.81,0.48,0.74,0.00,0.40
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,6,5360,1.49,12560,3.49,-500,0.0,0.0,0.0,2.69,2.92,4.68,3.52,233.26,194.80,364.04,267.88,0.48,0.74,0.00,0.40
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,7,5040,1.40,12240,3.40,-320,0.0,0.0,0.0,2.68,2.92,4.69,3.52,229.10,190.07,371.92,268.02,0.48,0.74,0.00,0.40
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,8,4820,1.34,12020,3.34,-220,0.0,0.0,0.0,2.68,2.91,4.70,3.52,226.43,186.99,376.78,268.02,0.48,0.75,0.00,0.40
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,9,4680,1.30,11880,3.30,-140,0.0,0.0,0.0,2.68,2.91,4.70,3.53,224.84,185.06,379.75,268.01,0.48,0.75,0.00,0.40
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,10,4600,1.28,11800,3.28,-80,0.0,0.0,0.0,2.68,2.91,4.71,3.53,223.91,183.87,381.17,267.87,0.48,0.76,0.00,0.40
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,11,4560,1.27,11760,3.27,-40,0.0,0.0,0.0,2.68,2.91,4.71,3.53,223.48,183.20,381.81,267.75,0.48,0.76,0.00,0.41
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,12,4520,1.26,11720,3.26,-40,0.0,0.0,0.0,2.68,2.91,4.71,3.53,223.31,182.86,381.66,267.52,0.48,0.76,0.00,0.41
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,13,4520,1.26,11720,3.26,0,0.0,0.0,0.0,2.68,2.91,4.71,3.53,223.29,182.69,381.35,267.34,0.48,0.77,0.00,0.41
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,14,4520,1.26,11720,3.26,0,0.0,0.0,0.0,2.68,2.91,4.71,3.53,223.42,182.69,380.60,267.09,0.49,0.77,0.00,0.41
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,15,4520,1.26,11720,3.26,0,0.0,0.0,0.0,2.68,2.91,4.71,3.53,223.69,182.80,379.80,266.90,0.49,0.78,0.00,0.41
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,16,4540,1.26,11740,3.26,20,0.0,0.0,0.0,2.69,2.91,4.70,3.53,223.97,182.98,378.74,266.64,0.49,0.78,0.00,0.41
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,17,4560,1.27,11760,3.27,20,0.0,0.0,0.0,2.69,2.91,4.70,3.52,224.34,183.24,377.55,266.38,0.49,0.78,0.00,0.41
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,18,4580,1.27,11780,3.27,20,0.0,0.0,0.0,2.69,2.91,4.70,3.52,224.75,183.52,376.50,266.19,0.49,0.79,0.00,0.42
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,19,4600,1.28,11800,3.28,20,0.0,0.0,0.0,2.69,2.91,4.70,3.52,225.11,183.79,375.29,265.93,0.49,0.79,0.00,0.42
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,20,4620,1.28,11820,3.28,20,0.0,0.0,0.0,2.69,2.91,4.70,3.52,225.52,184.08,374.24,265.75,0.49,0.79,0.00,0.42
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,21,4640,1.29,11840,3.29,20,0.0,0.0,0.0,2.69,2.91,4.70,3.52,225.78,184.30,373.14,265.49,0.49,0.80,0.00,0.42
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,22,4660,1.29,11860,3.29,20,0.0,0.0,0.0,2.69,2.91,4.69,3.52,226.16,184.55,372.18,265.31,0.49,0.80,0.00,0.42
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,23,4680,1.30,11880,3.30,20,0.0,0.0,0.0,2.63,2.90,4.69,3.50,225.15,183.72,371.59,264.53,0.54,0.82,0.00,0.44
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,24,4660,1.29,11860,3.29,-20,0.0,0.0,0.0,2.62,2.84,4.68,3.47,224.04,182.62,371.29,263.73,0.58,0.83,0.00,0.46
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,25,4660,1.29,11860,3.29,0,0.0,0.0,0.0,2.61,2.80,4.66,3.45,222.88,181.40,371.08,262.90,0.63,0.85,0.00,0.48
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,26,4620,1.28,11820,3.28,-40,0.0,0.0,0.0,2.61,2.78,4.65,3.44,222.32,180.54,370.27,262.13,0.68,0.87,0.00,0.49
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,27,4620,1.28,11820,3.28,0,0.0,0.0,0.0,2.61,2.78,4.64,3.43,221.78,179.78,369.19,261.31,0.70,0.88,0.00,0.51
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,28,4620,1.28,11820,3.28,0,0.0,0.0,0.0,2.61,2.78,4.63,3.43,221.42,179.19,367.82,260.48,0.71,0.90,0.00,0.51
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,29,4620,1.28,11820,3.28,0,0.0,0.0,0.0,2.61,2.78,4.63,3.43,221.16,178.70,366.23,259.64,0.72,0.91,0.00,0.52
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,30,4640,1.29,11840,3.29,20,0.0,0.0,0.0,2.61,2.77,4.62,3.43,220.98,178.23,364.73,258.85,0.74,0.93,0.00,0.53
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,31,4640,1.29,11840,3.29,0,0.0,0.0,0.0,2.61,2.77,4.62,3.42,220.89,177.91,362.89,258.02,0.75,0.94,0.00,0.54
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,32,4660,1.29,11860,3.29,20,0.0,0.0,0.0,2.61,2.77,4.61,3.42,221.01,177.76,360.83,257.23,0.55,0.96,0.00,0.50
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,33,4680,1.30,11880,3.30,20,0.0,0.0,0.0,2.61,2.77,4.61,3.42,221.18,177.69,358.68,256.43,0.57,0.97,0.00,0.51
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,34,4700,1.31,11900,3.31,20,0.0,0.0,0.0,2.61,2.77,4.60,3.42,221.42,177.70,356.44,255.66,0.59,0.99,0.00,0.52
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,35,4740,1.32,11940,3.32,40,0.0,0.0,0.0,2.61,2.77,4.60,3.42,221.73,177.78,354.15,254.91,0.61,1.01,0.00,0.53
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,36,4760,1.32,11960,3.32,20,0.0,0.0,0.0,2.61,2.77,4.59,3.41,222.09,177.93,351.83,254.18,0.63,1.02,0.00,0.54
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,37,4800,1.33,12000,3.33,40,0.0,0.0,0.0,2.61,2.77,4.59,3.41,222.40,178.09,349.56,253.47,0.65,1.04,0.00,0.55
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,38,4820,1.34,12020,3.34,20,0.0,0.0,0.0,2.61,2.78,4.58,3.41,222.82,178.20,347.48,252.83,0.67,1.05,0.00,0.56
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,39,4860,1.35,12060,3.35,40,0.0,0.0,0.0,2.61,2.78,4.58,3.41,223.11,178.36,345.34,252.17,0.69,1.07,0.00,0.57
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,40,4880,1.36,12080,3.36,20,0.0,0.0,0.0,2.61,2.78,4.57,3.41,223.54,178.64,343.14,251.55,0.71,1.08,0.00,0.58
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,41,4900,1.36,12100,3.36,20,0.0,0.0,0.0,2.61,2.78,4.57,3.41,223.92,178.92,341.01,250.95,0.74,1.10,0.00,0.60
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,42,4940,1.37,12140,3.37,40,0.0,0.0,0.0,2.61,2.78,4.57,3.41,224.31,179.22,338.92,250.38,0.76,1.11,0.00,0.61
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,43,4960,1.38,12160,3.38,20,0.0,0.0,0.0,2.61,2.78,4.56,3.41,224.70,179.53,336.89,249.83,0.78,1.13,0.00,0.62
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,44,5000,1.39,12200,3.39,40,0.0,0.0,0.0,2.61,2.78,4.56,3.40,225.09,179.71,334.92,249.26,0.80,0.99,0.00,0.57
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,45,5020,1.39,12220,3.39,20,0.0,0.0,0.0,2.62,2.78,4.56,3.40,225.55,179.94,332.93,248.71,0.82,1.00,0.00,0.58
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,46,5060,1.41,12260,3.41,40,0.0,0.0,0.0,2.62,2.78,4.55,3.40,225.96,180.12,331.23,248.24,0.85,1.02,0.00,0.59
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,47,5080,1.41,12280,3.41,20,0.0,0.0,0.0,2.62,2.78,4.55,3.40,226.20,180.21,329.55,247.71,0.87,1.03,0.00,0.60
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,48,5100,1.42,12300,3.42,20,0.0,0.0,0.0,2.62,2.78,4.55,3.40,226.54,180.36,327.87,247.22,0.89,1.05,0.00,0.62
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,49,5120,1.42,12320,3.42,20,0.0,0.0,0.0,2.62,2.78,4.54,3.40,226.89,180.52,326.21,246.75,0.91,1.06,0.00,0.63
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,50,5160,1.43,12360,3.43,40,0.0,0.0,0.0,2.62,2.78,4.54,3.40,227.24,180.70,324.59,246.29,0.93,1.08,0.00,0.64
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,51,5180,1.44,12380,3.44,20,0.0,0.0,0.0,2.62,2.78,4.54,3.40,227.59,180.88,323.01,245.86,0.96,1.09,0.00,0.65
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,52,5200,1.44,12400,3.44,20,0.0,0.0,0.0,2.62,2.78,4.54,3.40,227.94,181.07,321.47,245.44,0.98,1.10,0.00,0.66
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,53,5220,1.45,12420,3.45,20,0.0,0.0,0.0,2.62,2.78,4.53,3.40,228.28,181.26,319.98,245.04,1.00,1.12,0.00,0.67
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,54,5240,1.46,12440,3.46,20,0.0,0.0,0.0,2.62,2.78,4.53,3.40,228.54,181.40,318.61,244.64,1.02,1.13,0.00,0.68
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,55,5260,1.46,12460,3.46,20,0.0,0.0,0.0,2.62,2.78,4.53,3.40,228.85,181.56,317.25,244.27,1.05,1.15,0.00,0.69
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,56,5280,1.47,12480,3.47,20,0.0,0.0,0.0,2.62,2.78,4.53,3.39,229.16,181.74,315.92,243.91,1.07,1.16,0.00,0.70
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,57,5300,1.47,12500,3.47,20,0.0,0.0,0.0,2.62,2.78,4.52,3.39,229.39,181.87,314.68,243.55,1.09,1.18,0.00,0.71
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,58,5320,1.48,12520,3.48,20,0.0,0.0,0.0,2.62,2.78,4.52,3.39,229.67,182.03,313.46,243.23,1.11,1.19,0.00,0.72
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,59,5340,1.48,12540,3.48,20,0.0,0.0,0.0,2.62,2.78,4.52,3.39,229.89,182.15,312.32,242.90,1.13,1.21,0.00,0.74
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,60,5360,1.49,12560,3.49,20,0.0,0.0,0.0,2.62,2.78,4.52,3.39,230.15,182.25,311.37,242.65,1.16,1.22,0.00,0.75
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,61,5380,1.49,12580,3.49,20,0.0,0.0,0.0,2.62,2.78,4.52,3.39,230.29,182.31,310.39,242.33,1.18,1.23,0.00,0.76
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,62,5380,1.49,12580,3.49,0,0.0,0.0,0.0,2.62,2.78,4.52,3.39,230.52,182.44,309.37,242.06,1.20,1.25,0.00,0.77
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,63,5400,1.50,12600,3.50,20,0.0,0.0,0.0,2.62,2.78,4.51,3.39,230.69,182.54,308.39,241.78,1.22,1.26,0.00,0.78
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,64,5420,1.51,12620,3.51,20,0.0,0.0,0.0,2.62,2.78,4.51,3.39,230.92,182.69,307.41,241.52,1.24,1.28,0.00,0.79
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,65,5440,1.51,12640,3.51,20,0.0,0.0,0.0,2.62,2.78,4.51,3.39,231.09,182.74,306.67,241.30,1.27,1.29,0.00,0.80
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,66,5440,1.51,12640,3.51,0,0.0,0.0,0.0,2.62,2.78,4.51,3.39,231.20,182.88,305.68,241.01,1.29,1.30,0.00,0.81
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,67,5460,1.52,12660,3.52,20,0.0,0.0,0.0,2.62,2.78,4.51,3.39,231.54,183.15,305.37,241.08,1.29,1.30,0.00,0.81
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,68,5460,1.52,12660,3.52,0,0.9,0.0,2.0,2.62,2.78,4.50,3.39,230.30,182.01,305.56,240.41,1.29,1.31,0.00,0.81
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,69,5440,1.51,12640,3.51,-20,1.5,0.1,3.1,2.61,2.78,4.44,3.36,228.81,180.47,306.23,239.71,1.29,1.31,0.01,0.82
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,70,5400,1.50,12600,3.50,-40,1.9,0.1,4.0,2.61,2.78,4.39,3.34,227.26,178.89,306.80,238.95,1.30,1.32,0.01,0.82
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,71,5360,1.49,12560,3.49,-40,2.3,0.1,4.8,2.61,2.77,4.36,3.33,225.93,177.47,307.08,238.19,1.30,1.32,0.01,0.82
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,72,5340,1.48,12540,3.48,-20,2.6,0.1,5.4,2.61,2.77,4.34,3.32,224.80,176.24,307.02,237.42,1.30,1.32,0.02,0.83
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,73,5320,1.48,12520,3.48,-20,2.9,0.2,6.0,2.61,2.77,4.32,3.31,223.93,175.17,306.75,236.70,1.31,1.33,0.02,0.83
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,74,5300,1.47,12500,3.47,-20,3.1,0.2,6.4,2.61,2.77,4.32,3.31,223.24,174.37,305.96,235.94,1.31,1.33,0.02,0.84
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,75,5300,1.47,12500,3.47,0,3.2,0.2,6.6,2.61,2.77,4.31,3.31,222.83,173.82,304.79,235.18,1.31,1.34,0.02,0.84
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,76,5300,1.47,12500,3.47,0,3.3,0.2,7.0,2.61,2.77,4.31,3.31,222.53,173.34,303.57,234.47,1.32,1.34,0.03,0.84
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,77,5300,1.47,12500,3.47,0,3.4,0.2,7.2,2.61,2.77,4.30,3.30,222.40,173.08,301.94,233.73,1.32,1.34,0.03,0.85
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,78,5320,1.48,12520,3.48,20,3.5,0.2,7.3,2.61,2.77,4.30,3.30,222.37,172.94,300.14,233.00,1.32,1.35,0.03,0.85
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,79,5340,1.48,12540,3.48,20,3.6,0.2,7.4,2.61,2.77,4.29,3.30,222.44,172.83,298.41,232.33,1.33,1.35,0.04,0.85
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,80,5360,1.49,12560,3.49,20,3.6,0.2,7.5,2.61,2.77,4.29,3.30,222.55,172.82,296.45,231.61,1.33,1.36,0.04,0.86
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,81,5380,1.49,12580,3.49,20,3.6,0.2,7.6,2.61,2.77,4.29,3.30,222.76,172.86,294.57,230.98,1.33,1.36,0.04,0.86
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,82,5420,1.51,12620,3.51,40,3.6,0.2,7.6,2.61,2.77,4.28,3.30,222.98,172.97,292.51,230.30,1.34,1.37,0.05,0.86
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,83,5440,1.51,12640,3.51,20,3.6,0.2,7.6,2.61,2.77,4.28,3.29,223.21,173.10,290.45,229.63,1.34,1.37,0.05,0.87
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,84,5460,1.52,12660,3.52,20,3.6,0.2,7.6,2.61,2.77,4.27,3.29,223.55,173.26,288.51,229.05,1.34,1.37,0.05,0.87
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,85,5500,1.53,12700,3.53,40,3.6,0.2,7.6,2.61,2.77,4.27,3.29,223.80,173.41,286.50,228.42,1.35,1.38,0.05,0.87
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,86,5520,1.53,12720,3.53,20,3.6,0.2,7.5,2.61,2.77,4.27,3.29,224.18,173.62,284.60,227.88,1.35,1.38,0.06,0.88
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,87,5560,1.54,12760,3.54,40,3.6,0.2,7.5,2.61,2.77,4.26,3.29,224.55,173.88,282.54,227.30,1.35,1.39,0.06,0.88
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,88,5580,1.55,12780,3.55,20,3.5,0.2,7.5,2.61,2.77,4.26,3.29,224.99,174.16,280.64,226.80,1.36,1.39,0.06,0.88
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,89,5620,1.56,12820,3.56,40,3.5,0.2,7.4,2.61,2.77,4.25,3.29,225.32,174.39,278.71,226.24,1.36,1.39,0.07,0.89
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,90,5640,1.57,12840,3.57,20,3.5,0.2,7.4,2.61,2.77,4.25,3.29,225.68,174.65,276.80,225.71,1.36,1.40,0.07,0.89
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,91,5660,1.57,12860,3.57,20,3.4,0.2,7.3,2.61,2.77,4.25,3.29,226.05,174.87,275.11,225.26,1.37,1.40,0.07,0.89
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,92,5700,1.58,12900,3.58,40,3.4,0.2,7.1,2.61,2.77,4.25,3.29,226.47,175.18,273.24,224.77,1.37,1.41,0.08,0.90
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,93,5720,1.59,12920,3.59,20,3.4,0.2,7.2,2.61,2.77,4.24,3.28,226.85,175.43,271.62,224.36,1.37,1.41,0.08,0.90
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,94,5740,1.59,12940,3.59,20,3.3,0.2,7.1,2.61,2.77,4.24,3.28,227.09,175.59,270.01,223.87,1.37,1.41,0.08,0.90
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,95,5780,1.61,12980,3.61,40,3.3,0.2,7.0,2.62,2.77,4.24,3.28,227.44,175.79,268.56,223.49,1.38,1.42,0.09,0.91
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,96,5800,1.61,13000,3.61,20,3.3,0.2,7.0,2.62,2.77,4.23,3.28,227.75,175.97,267.17,223.11,1.38,1.42,0.09,0.91
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,97,5820,1.62,13020,3.62,20,3.2,0.2,6.9,2.62,2.77,4.23,3.28,228.05,176.18,265.64,222.70,1.38,1.43,0.09,0.91
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,98,5840,1.62,13040,3.62,20,3.2,0.2,6.8,2.62,2.77,4.23,3.28,228.41,176.41,264.29,222.36,1.38,1.43,0.09,0.92
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,99,5860,1.63,13060,3.63,20,3.2,0.2,6.9,2.62,2.78,4.23,3.28,228.62,176.55,262.92,221.95,1.39,1.43,0.10,0.92
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,100,5880,1.63,13080,3.63,20,3.1,0.2,6.8,2.62,2.78,4.23,3.28,228.95,176.75,261.69,221.65,1.39,1.44,0.10,0.92
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,101,5900,1.64,13100,3.64,20,3.1,0.2,6.7,2.62,2.78,4.22,3.28,229.15,176.84,260.60,221.33,1.39,1.44,0.10,0.93
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,102,5920,1.64,13120,3.64,20,3.1,0.2,6.7,2.62,2.78,4.22,3.28,229.42,177.02,259.32,220.98,1.39,1.45,0.11,0.93
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,103,5920,1.64,13120,3.64,0,3.1,0.2,6.6,2.62,2.78,4.22,3.28,229.65,177.14,258.28,220.69,1.40,1.45,0.11,0.93
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,104,5940,1.65,13140,3.65,20,3.1,0.2,6.7,2.62,2.78,4.22,3.28,229.91,177.29,257.25,220.43,1.40,1.45,0.11,0.94
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,105,5960,1.66,13160,3.66,20,3.0,0.2,6.6,2.62,2.78,4.22,3.28,230.09,177.39,256.14,220.10,1.40,1.46,0.12,0.94
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,106,5980,1.66,13180,3.66,20,3.0,0.2,6.5,2.62,2.78,4.21,3.28,230.47,177.65,255.05,219.88,1.40,1.46,0.12,0.94
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,107,6000,1.67,13200,3.67,20,3.0,0.2,6.5,2.62,2.78,4.21,3.28,230.84,177.91,253.97,219.66,1.40,1.47,0.12,0.95
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,108,6000,1.67,13200,3.67,0,3.0,0.2,6.4,2.62,2.78,4.21,3.28,231.22,178.18,252.89,219.46,1.41,1.66,0.12,1.02
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,109,6020,1.67,13220,3.67,20,2.9,0.2,6.3,2.62,2.78,4.21,3.28,231.51,178.41,251.74,219.18,1.41,1.66,0.13,1.02
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,110,6040,1.68,13240,3.68,20,2.9,0.2,6.2,2.62,2.78,4.21,3.27,231.84,178.48,250.78,218.93,1.41,1.67,0.13,1.03
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,111,6060,1.68,13260,3.68,20,2.9,0.2,6.2,2.62,2.78,4.21,3.27,232.12,178.50,249.89,218.68,1.41,1.67,0.13,1.03
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,112,6080,1.69,13280,3.69,20,2.8,0.2,6.1,2.62,2.78,4.20,3.27,232.40,178.73,249.65,218.74,1.41,1.67,0.13,1.03
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,113,6080,1.69,13280,3.69,0,5.5,0.2,12.1,2.62,2.78,4.20,3.27,232.58,178.92,248.59,218.46,1.40,1.67,0.14,1.03
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,114,6100,1.69,13300,3.69,20,6.7,0.4,14.6,2.62,2.78,4.19,3.27,232.90,179.03,247.50,218.17,1.38,1.67,0.14,1.02
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,115,6120,1.70,13320,3.70,20,7.4,0.5,16.1,2.62,2.78,4.14,3.25,233.37,179.45,245.98,217.88,1.36,1.67,0.14,1.02
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,116,6160,1.71,13360,3.71,40,7.9,0.6,17.2,2.63,2.78,4.10,3.24,233.81,179.71,244.57,217.56,1.34,1.67,0.15,1.02
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,117,6180,1.72,13380,3.72,20,8.3,0.7,18.1,2.63,2.78,4.08,3.23,234.38,180.23,242.80,217.23,1.32,1.67,0.15,1.01
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,118,6220,1.73,13420,3.73,40,8.6,0.7,18.7,2.63,2.78,4.06,3.22,234.89,180.72,241.04,216.88,1.30,1.67,0.15,1.01
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,119,6240,1.73,13440,3.73,20,8.8,0.7,19.1,2.63,2.78,4.05,3.22,235.59,181.23,239.25,216.58,1.28,1.67,0.16,1.00
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,120,6280,1.74,13480,3.74,40,8.9,0.7,19.5,2.63,2.78,4.03,3.21,236.10,181.72,237.41,216.20,1.26,1.67,0.16,1.00
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,121,6320,1.76,13520,3.76,40,9.1,0.8,19.9,2.63,2.78,4.02,3.21,236.84,182.29,235.54,215.90,1.24,1.67,0.16,1.00
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,122,6360,1.77,13560,3.77,40,9.2,0.8,20.1,2.63,2.78,4.01,3.21,237.38,182.82,233.64,215.52,1.22,1.67,0.17,0.99
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,123,6400,1.78,13600,3.78,40,9.2,0.8,20.3,2.63,2.78,4.00,3.20,238.17,183.45,231.71,215.23,1.21,1.67,0.17,0.99
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,124,6440,1.79,13640,3.79,40,9.3,0.8,20.4,2.63,2.79,4.00,3.20,238.98,184.21,229.53,214.90,1.19,1.66,0.17,0.99
10.289364,15.918336,1.041400,0.630419,-0.593779,0.499999,125,6480,1.80,13680,3.80,40,9.3,0.8,20.5,2.63,2.79,3.99,3.20,239.62,184.75,227.69,214.57,1.17,1.66,0.18,0.98
